ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
633061	10840	276404.5	44576.5	37868.5	2460.5	521419.5	158867.5	28482	121164	51456	223089	28659	274364	37263	44440
484305	340582	271085	14577	11973.5	26885.5	208707	251261	93803	62694	16546.5	1272.5	21653	28616	65863.5	2792.5
171661	35113	229079.5	64518.5	103805.5	35223.5	228206	1400435	9453.5	277375.5	29269	166269	513602	340122	20461	39862
13384	37682	347453	405968	14128.5	1412.5	281242	56771	45615	131001	34993.5	308937.5	287486.5	11044.5	133048	48860
38372.5	397195.5	220478.5	643.5	446961	223206	252538.5	121514.5	104632	227915	5344	323	41062	4162	18115.5	6537.5
46591	175145	204310	31194	113720	21013	761394	11385	55558	64153	2743	21413	45365	18361	282504	73811
704007	61783	228761	360650	26820	246745	1064134	40430	56117	26088	25842.5	9365.5	4197.5	118966.5	100254	128843
53992	14931	385755.5	108914.5	21323	3379	1552941.5	96481.5	123244	240731	17147.5	1357.5	259938	1498	32129.5	141787.5
31775	25631	386704.5	44112.5	30329	8960	1715927.5	608783.5	165478.5	2848.5	50823	423725	20375	224747	4866.5	1738825.5
56706.5	460524.5	580420	58313	26804	9340	1594435.5	11409.5	8517.5	16884.5	17062.5	11453.5	147119.5	3123.5	81263	62774
26180	55601	412995.5	24258.5	2457	34835	512434.5	28762.5	8871	11534	47200.5	2770.5	549662	351344	76746.5	3344.5
12233.5	72030.5	313823.5	43487.5	3849.5	340078.5	278630.5	456.5	6154.5	8127.5	49503	321528	48103	489195	749774	394042
46599.5	126740.5	78929	114589	18546.5	92891.5	11417.5	322836.5	21564	44873	29464.5	7844.5	334031	24973	537716	33876
1080040.5	40868.5	153509	32283	35881.5	58320.5	123535.5	25740.5	6967.5	81123.5	10743	19282	24831	64237	68572.5	122156.5
166896	317190	103874.5	1349142.5	9917.5	13714.5	24128	38760	18939.5	16637.5	39587	1495371	52855.5	34591.5	11243	29833
