ES_mean_A_No_ES_Enh_only	Rel_exp_A_No_ES_Enh_only	ES_mean_N_No_ES_Enh_only	Rel_exp_N_No_ES_Enh_only	ES_mean_B_No_ES_Enh_only	Rel_exp_B_No_ES_Enh_only	ES_mean_A_ES_NEDE_only	Rel_exp_A_ES_NEDE_only	ES_mean_N_ES_REDE_only	Rel_exp_N_ES_REDE_only	ES_mean_N_ES_NEDE_only	Rel_exp_N_ES_NEDE_only	ES_mean_A_ES_nonEnhTE_only	Rel_exp_A_ES_nonEnhTE_only	ES_mean_A_ES_REDE_only	Rel_exp_A_ES_REDE_only	ES_mean_B_ES_NEDE_only	Rel_exp_B_ES_NEDE_only	ES_mean_N_ES_nonEnhTE_only	Rel_exp_N_ES_nonEnhTE_only	ES_mean_B_ES_nonEnhTE_only	Rel_exp_B_ES_nonEnhTE_only	ES_mean_A_Mixed	Rel_exp_A_Mixed	ES_mean_N_Mixed	Rel_exp_N_Mixed	ES_mean_B_ES_REDE_only	Rel_exp_B_ES_REDE_only	ES_mean_B_Mixed	Rel_exp_B_Mixed	ES_mean_All_A	Rel_exp_All_A	ES_mean_All_B	Rel_exp_All_B	ES_mean_All_N	Rel_exp_All_N
-0.293697	-1.13922498	1.02135532	0.40333462	-4.673317		-4.7729825		2.5480629	0.1987134	-6.2925184		-6.5041218		-3.66122625		0.84057668	-1.28335032	3.54403745	0.1431099	-6.5641535		0.69468552	-0.168472805			-5.0103519				2.7781187	-1.0566658	-3.3145325	1.9846993	-5.0916833	-1.12074915
1.30514875	-0.0669011850000001	1.02135532	0.40333462	-4.2537295		-6.633342		0.14458795	-0.518657175	1.85266585	-0.60953105	-6.27761875		5.8890948	0.849907050000001	-4.57043975		1.80484455	-0.28260035	-5.39737515		0.69468552	-0.168472805			-1.5419429				0.1115100985	0.3914636715	-3.30767795	0.69221825	-2.1884239	0.9846992
0.45709368	-0.66349727	-4.0626673		-5.0573595		-4.3535192		0.67277555	-0.65077278	-1.43061595		2.39945175	-0.3703383	3.74083375	1.60646405	-4.5292172		0.717048025	-0.639713425	-5.974458		0.71982041	5.58612871			-5.0287303				-1.74081705	-1.76990896	-5.0766251	-0.17626485	-4.3048943	-0.176265000000001
-4.82029845		-3.34575105	-2.794784285	-6.08689335		-0.37539248	-0.3660226	-0.773304785	1.531254215	-0.533852785	-1.02891261	-1.78894055		-3.28769875		0.33942208	2.84956643	-3.86450085		-4.3567331		2.2574588	-0.5905452			-5.15277385				2.939736	0.77328985	-6.17869545	-6.73929435	-3.83077215	0.39973685
-1.34836705		-4.547255		-5.98861		-4.75653605		1.209541	0.43048256	1.88040685	0.30622925	5.1325257	1.6384524	3.0272459	-0.5376345	-3.80560475		-4.0498805		-3.63584225		5.65820475	0.4415166			-5.1993315				-0.293697	-1.13922498	-4.673317	-0.176264700000001	1.02135532	0.40333462
0.04749684	-1.05527481	-3.6438129		-5.75745435		-4.75921385		-6.48692705		1.88040685	0.30622925	-3.4461687	-4.673138	-0.73612395	-0.326996795	-5.61774535		-3.5280045		-4.63544915		1.5848294	0.45228545			-5.0241575				-5.61267805	-0.17626505	-4.2537295	-0.176265150000001	1.02135532	0.40333462
-1.77289155	-0.89090998	-4.4207577		-5.3248625		-0.67682963	-1.66872496	0.355768555	-0.101627615	2.3697877	-1.14758295	0.240077455	-0.45994053	1.77581205	0.92978065	-0.1201578	-3.41447365	-4.58754755		-2.34169435		1.0458775	0.919564985			-5.1789063				-5.0736777	-0.176264699999999	-5.0573595	-1.6207491	-4.0626673	0.692218
-5.94250365		-5.23009975		-6.0927285		0.630291285	-0.25432435			2.9080245	-0.9509812	-5.64518585		-1.777413		2.17607365	-0.1010771	-4.8444359		-3.50630935		2.9318998	0.653546			-5.14139535				1.30514875	-0.0669011850000001	-6.08689335	-0.1762648	-2.19581185	0.0724852
-3.3402826		-5.26669165		-6.00184965		-0.380362465	-0.263731265			2.21972445	0.70974505	-4.391259		1.22627245	0.5299888	-1.5748408	-0.7048867	-4.6868817		-5.4079442		0.875345555	6.793133105			-5.0241575				0.45709368	-0.66349727	-6.0780965	-0.17626485	-3.34575105	-2.794784285
3.1388993	0.42579305	-4.7249495		-4.95537065		-4.1761609				3.01775565	0.223253	-4.9851635		0.555259345	-0.594901775	-2.822992		-3.22576365		-5.48760865		3.6245403	-0.31484655			-5.1172669				-4.82029845	-0.10026325	-5.98861	-0.176264799999999	-3.99496795	0.77027735
3.1388993	0.42579305	-6.641824		-4.07956635		-5.751361				0.381857395	-0.290320885	-5.69698085		-0.6710704	2.3061144	-5.0810349		-4.3712085		0.356493485	0.2032314065	3.25115285	0.93954595			-5.03328865				-1.34836705	1.33996445	-5.75745435	-0.1762645	-4.547255	-0.17626445
2.210457	-0.1605798	-5.86279435		-5.8738501		-3.1314304				-4.0984828		5.616417	-0.271412	-0.360313185	4.671784365	-5.8088722		-4.48815185		-4.3807785		-5.19934105				-5.0057205				0.04749684	-1.05527481	-5.3248625	-0.1762645	-3.6438129	-0.17626465
-0.91599437	-0.088976345	-5.2168028		6.85197425	1.00557955	-4.316659				3.5103855	0.55182075	0.54876937	-1.63951118	-0.360313185	4.671784365	-0.34108325	5.99847965	-6.30803265		-5.86279435		5.2555688	0.9926191			-5.0348048				-1.77289155	-0.89090998	-6.0927285	-0.17626485	-4.4207577	-0.176264499999999
2.01107125	-0.53442455	-5.26798135		-4.7820389		-5.69553495				-4.62782715		1.38941905	0.51897575	3.58782505	1.0887342	5.4212437	-0.3137748	-3.009874		-5.3950157		3.88284135	0.26337265			-5.17203285				-5.94250365	-0.176264649999999	-6.00184965	-0.176264900000001	-5.23009975	-0.1762646
0.306136785	-0.151082127	3.7734196	-0.61507395	2.23352565	0.4256377	-5.6936163				3.76358375	0.3068926	-2.3284327	-2.46010713	1.75883385	0.0749710499999998	2.7193666	0.0333337499999997	-5.79641195		-6.6433015		-2.1585536				-5.0103519				-3.62386185	2.09589565	-4.95537065	-0.176264649999999	-5.26669165	-0.1762645
-6.65272785	-7.16448078	-4.5193655		-3.3396596		4.97596145	1.43491285			2.66824735	-0.5352428	-6.4557027		2.7765527	-0.42841015	-5.31740675		0.290666485	-3.276078265	2.8587644	1.95719713	-2.1585536				-6.0766251				-1.038612875	4.896913425	-4.07956635	-0.17626455	-4.7249495	-0.17626465
2.3547777	-0.35352625	-4.7224023		-5.61673335		-0.828009425	-1.013349865			-7.7848715		-2.1548477		-0.45024803	-0.22372052	3.4330963	-0.6457802	0.941235215	2.60176024	-6.61976725		0.31456518	1.28489555			-5.28464535				-3.3402826	0.6922181	-5.8738501	-0.176265000000001	-6.641824	-0.1762648
2.83618115	0.2551323	-2.8043277		-5.61673335		-5.4596594				1.9921588	-0.44285055	-6.8301001		3.96013425	0.28694415	-5.9329989		-3.3322002		-4.0647995		0.31456518	1.28489555			-5.2006829				3.102614	0.0948286999999999	6.85197425	1.00557955	-5.86279435	-0.176264249999999
2.7204003	0.22175025	-4.7699139		0.75581045	0.720945015	-4.92298535				1.3411514	1.8724415225	-3.01213505		1.8088268	-3.54069805	-6.0088485	-10.5043235	-3.3713405		-0.522403455	-0.2031611285	4.57634485	0.4737771			-4.9964125				3.1388993	0.42579305	-4.7820389	-0.17626475	-5.2168028	-0.1762648
1.15014345	0.28369447	-5.2795385		-6.20473005		0.88826055	-1.7304297			3.22271635	0.26056615	2.13825475	-0.27884555	4.23947035	-0.58967915	0.34505543	0.2427160225	4.66693325	1.02215595	-7.64235825		3.3757255	6.6882591			-0.16427908	-0.80022835			3.1388993	0.42579305	2.23352565	0.4256377	-5.26798135	-0.176264799999999
-4.80369965		-1.10612485	-2.22207313	-1.811324675		-2.90321255				2.3085723	0.60974775	2.13825475	-0.27884555	4.5892837	0.7840951	5.77756535	0.927573799999999	3.9197134	1.4009649	-2.11726705		1.589203	-0.9372968			-5.900036				2.210457	-0.1605798	-3.3396596	-0.1762647	-1.04602605	3.2589178
-5.53578965		-6.93091875		-1.3610481	-0.641946225	-7.04762885				1.6962474	-0.24786955	4.05317435	0.0805953499999998	7.1651973	0.93088645	4.55170475	-0.0463784499999997	-5.7145805		1.495200885	8.807374985	-4.8106435				3.06772935	0.79714725			-0.91599437	-0.088976345	-5.61673335	-0.17626465	0.18273288	1.26317333
-1.151764885		3.1171666	-0.1312948	-6.2154665		-3.5431242				2.715857	0.350952299999999	-0.63939717	1.27718053	4.2229065	-0.41897915	-0.958479185	3.079216465	-6.31178935		-4.2406495		4.3679755	-0.35021995			-3.9693922				1.6481901	0.737469335	-5.61673335	-0.17626465	3.7734196	-0.61507395
-2.0310307	-2.225136975	-6.30865935		-2.84206145		2.32957795	2.395073825			5.88113495	0.0519891999999995	-4.4062345		-6.4793362		-1.429815365		-5.29607035		-5.8780794		1.23970435	-1.04009045			-4.1115309				2.01107125	-0.53442455	-5.4697835	-0.1762647	-4.5193655	-0.1762647
