TS_REDE_es_mean	TS_REDE_ts_mean	TS_REDE_Rel_exp	TS_NEDE_es_mean	TS_NEDE_ts_mean	TS_NEDE_Rel_exp	TS_nonEnhTE_es_mean	TS_nonEnhTE_ts_mean	TS_nonEnhTE_Rel_exp	No_TS_Enh_es_mean	No_TS_Enh_ts_mean	No_TS_Enh_Rel_exp	es_mean	ts_mean	Rel_exp
-3.1057714	-2.9295068		-4.74364585	-5.8133077		0.264395765	1.00948595	-0.745090185	-4.6936163	-3.300872		-4.5870705	-4.41080545	
-6.0692455	-5.89298105		4.138672	4.19336515	-0.0546931500000003	5.26360715	4.59089575	0.672711400000001	-5.55053435	-6.16675095		2.92419605	2.96595105	-0.0417550000000002
-3.9278895	-3.7516251		1.42910565	1.9352733	-0.50616765	-6.033289	-5.8570243		-1.37043335	-2.1502322		2.26114145	2.14953135	0.1116101
-3.3543063	-3.10204005		4.6078295	4.9135945	-0.305765	-1.91987715	1.0787354	-2.99861255	1.9866334	2.3097808	-0.3231474	-4.8965435	-4.720279	
-5.58665395	-6.278872		-4.9327775	-4.75651285		1.0720976	0.9757334	0.0963642	1.5038746	0.99414823	0.50972637	-7.0513788	-6.2991128	
-4.13618145	0.62497575	-4.7611572	-0.140212804	0.9414675	-1.081680304	-5.859761	-4.89101505		-0.726170005	7.55174415	-8.277914155	-2.9038962	-2.1693327	
-6.6625687	-6.486304		-6.78564565	-6.7613842		-3.7917648	-4.85246585		-5.64976215	-5.47349775		1.737386	2.1842307	-0.4468447
-6.1406915	-5.9644268		-5.910651	-4.65838465		1.64272115	3.40283	-1.76010885	-5.15957785	-4.98331325		-0.11775211	0.390298915	-0.508051025
3.70501175	3.2163858	0.488625949999999	3.0861653	3.24333225	-0.15716695	3.88606215	3.6889077	0.19715445	-5.37672715	-1.82301885		-3.1512144	-2.97494975	
1.6116731	2.21488665	-0.60321355	-1.020141475	0.053085	-1.073226475	0.953297435	1.30060575	-0.347308315	-3.6408013	-3.09605375		3.04355455	3.2230748	-0.17952025
2.00888075	2.6594174	-0.650536649999999	1.2934436	-0.0495997	1.3430433	-0.26898833	1.914742	-2.18373033	-4.9048588	-4.6525923		1.2359568	1.70774075	-0.47178395
-7.4599415	-7.13167355		2.77768625	2.31839675	0.459289500000001	-2.15260495	-4.9208242		-4.7436135	-4.49134715		-6.4798373	-6.30357245	
2.1086555	4.55816055	-2.44950505	-5.55361485	-5.37735		3.3232764	2.3759916	0.9472848	-4.999522	-4.82325715		-0.784087445	-0.53652054	-0.247566905
3.35568525	2.4509631	0.90472215	3.9461038	3.3263913	0.6197125	-5.4207577	-5.2444932		-4.961831	-4.8615678		-4.6936163	-3.300872	
3.86828435	3.7675178	0.100766549999999	2.9194902	3.86352045	-0.94403025	0.04016698	-0.83304752	0.8732145	2.16416	-2.2031171	4.3672771	-5.55053435	-6.16675095	
4.5246875	4.1378861	0.3868014	3.5004165	2.3122294	1.1881871	-0.55067949	-1.6426192	1.09193971	-5.0916833	-3.97093415		-1.37043335	-2.1502322	
-0.933612215	-4.82198885	3.888376635	5.0394049	5.5022562	-0.4628513	-6.34578035	-6.16951525		-5.4329989	-5.3327355		1.9866334	2.3097808	-0.3231474
-4.19607185	-5.68077115		-0.81620395	-2.53764695	1.721443	2.8166671	2.7163558	0.1003113	-2.1884239	-3.1731231		1.5038746	0.99414823	0.50972637
2.24088355	2.2272911	0.0135924500000004	2.2606703	4.09879815	-1.83812785	-5.7620392	-5.58577415		-5.5798182	-5.3275515		-0.726170005	7.55174415	-8.277914155
-5.35810225	-8.237518		1.69632335	3.4462488	-1.74992545	8.1745735	7.48854915	0.686024350000001	-6.14139535	-4.520646		-5.64976215	-5.47349775	
1.1926223	1.93009195	-0.73746965	-6.9040295	-6.72776485		-3.5340165	-5.88719835		-4.3124149	-4.13615015		-5.15957785	-4.98331325	
2.28369095	4.1276313	-1.84394035	-6.00958465	-6.40932165		1.24275265	1.66892755	-0.4261749	-5.07072465	-4.89446		-5.37672715	-1.82301885	
-5.51461025	-2.9011111		-7.12831685	-6.08356955		-1.46192645	0.0357204875	-1.4976469375	-4.3048943	-4.1286293		-3.6408013	-3.09605375	
1.52359175	4.808522	-3.28493025	2.37750485	2.55030685	-0.172802	-5.0103519	-4.83408715		-4.6035115	-4.4272465		-4.9048588	-4.6525923	
-0.71447843	0.6436595	-1.35813793	2.0947096	1.77629645	0.31841315	-5.0103519	-4.83408715		-3.83077215	-4.230509		-4.7436135	-4.49134715	
2.75407135	1.0629556	1.69111575	3.4330963	4.0788765	-0.6457802	-5.42423295	-5.2479683		-5.73150975	-5.5552449		-4.999522	-4.82325715	
3.42295075	3.71561015	-0.2926594	3.130141	3.79020385	-0.66006285	-5.0378325	-4.8615678		-3.2777936	-6.242172		-4.961831	-4.8615678	
3.14626635	3.4565593	-0.31029295	6.44870665	6.52402535	-0.0753187000000004	-5.1789063	-5.00264145		-6.2161347	-6.03987		2.16416	-2.2031171	4.3672771
-6.26236925	-7.899072		-6.0088485	4.495475	-10.5043235	-5.18438135	-5.00811645		-3.40383575	-3.30357245		-5.0916833	-3.97093415	
