NEDE Nearest.dist	NEDE Chicago.dist	NEDE Gothic.dist
17319.5		72940
69847		51338
46891.5		122738
73379.5		122053
58851.5		22985
5645		345189
16874.5		15433
10194		24333
1733		21015
17242		6271
8576		49019
37324.5		2019
1903.5		35685
7557		203447
5492		1761
5956.5		59645
16910		61848
66050.5		28836
24294.5		117534
9231		13306
12164		4860
70309		1
59718		11608
19106		57415
25873		7670
20450		60229
54549.5		6213
67861.5		294017
62731.5		117456
15930.5		85154
6584		64221
67629		38657
18344.5		17724
42343.5		8852
38480		255349
1108.5		23598
37392.5		1
27959.5		36644
28528.5		254183
36885		32121
14148.5		26696
12175		13073
55357		9259
3186		23082
5567.5		63500
7002		157326
5134.5		1
5214		203489
7744.5		54892
10772.5		50295
25190		23334
20447		23761
25055.5		80221
12142		19021
6898.5		14207
25114		5219
84766.5		392
12148		6100
19617.5		6372
47548.5		11529
30755		45475
8962		9875
65482		40024
18206		172181
73122		113797
77200.5		73238
84341.5		54152
20711		2884
50472.5		9723
2026.5		48743
16691.5		177469
3163.5		18820
5619.5		13222
23183		58384
23847		69703
11761		55819
4770.5		450
9630		19340
27890.5		25680
88487		33521
24782.5		121345
11777.5		41717
8634		13428
31290.5		27501
51817		175272
95595		18400
16891		219719
12524		16038
2714.5		81046
5508		87843
69057.5		13882
50899		136804
9814.5		29026
39208		40944
93292.5		125047
16510		130421
18945.5		56301
79181		119811
71302.5		82243
64876		184349
3661.5		112193
33678		1843
14795.5		8233
17235		138131
18595.5		22642
54650		35706
15619		57882
3315.5		22576
18351		64334
7250		64334
18822		16169
54699.5		16169
39710.5		11627
26492		11627
56720		1772
79578		1772
21519		229786
33564.5		25750
26381		25750
32368		23381
16805.5		141023
21599.5		220930
12645		141023
43767		149508
51748		69601
1534		69601
15335		36435
4745		116342
24780		36435
55989.5		25605
25151.5		25605
8657.5		105512
14392.5		2607
31026.5		82514
85964		2607
36958		81399
42487		81399
19376		2719
2101		129259
1746		120358
5343		59248
7772.5		279284
6017		1
17517.5		52676
33808		42728
41075.5		33358
1342		21928
26039		19626
8206.5		208134
5251.5		10755
39698		47202
10954		80610
2553.5		33798
18454.5		142011
8080		62114
8914		43892
24552		33777
34237		41984
30065.5		1
54126		8208
41556.5		85342
36724		156176
5224		51086
1304		32793
2912		117928
89813.5		19702
5080.5		15170
1166.5		20137
14907		21331
18660		294900
7959.5		40638
14522		25076
24402		40827
17877.5		195864
76832		28640
52908		36627
35035		14661
6526.5		173429
4406		243365
4088.5		456204
38428		348807
6326.5		25968
6730		6271
4902.5		234136
50419.5		10782
43773.5		589
42695.5		1
12752		148147
16364.5		77060
23876.5		21025
32410		37000
26030.5		134942
23694.5		6139
5141		64430
4839		22418
29379		42260
3684.5		21963
18515		74197
1739.5		89839
68083		90318
58073		90653
1979.5		19472
1384		24500
85441.5		58811
16130.5		65506
19115.5		62452
21242		35990
3245		270168
26649.5		206641
7349.5		73193
45232		18614
73489		71120
2265		15667
3671.5		28712
2875.5		62717
37210.5		81876
24982.5		21385
92584.5		28795
55184		41482
16723		124604
9177.5		254853
25647		664277
16266		37226
45414		69579
51061.5		1104
3097		175380
8950.5		200873
21624		221422
54637.5		1809
3671.5		58315
4105.5		25619
19596.5		5682
17208		2572
29554		26013
18431		24856
1922		45950
59637.5		123857
29819		1
13135.5		1
19639.5		49153
31281		51024
30963.5		83440
23483		28789
23793.5		10401
4355		25595
4768.5		26230
18670.5		85592
63572		1
82549.5		8604
6509		43214
10544		49617
9742		77998
31396.5		31901
76983.5		23511
8444		887
10028		41
43968		2452
8610		2073
18956		30343
9487.5		105251
10071.5		300243
24869		34312
5992		34312
21226		51453
41340		18460
6521		18460
2585.5		12405
8334.5		174629
21611.5		51059
8867.5		19122
15059.5		95974
43273		50721
16816.5		60853
14433		106106
14921		9855
19059		71288
26651		121139
16558.5		113754
5120		21899
12879		3153
87731		20055
36156		72065
32141		1
14942.5		53722
53775.5		30308
46604		45144
69454		70081
62046.5		3545
76951		116312
79469		17191
52434		1495
1474		19324
60048		146948
4321		48138
22768		11911
54455		143073
83982.5		182836
77109.5		73451
60281		37526
3527		57338
16267.5		74219
48463		37724
14255		143778
49054		186109
36871		3949
35974		3949
44907		1
972.5		61574
20640.5		33077
19207.5		14133
61839		1
30083.5		44293
19403.5		27869
9118		28392
26915.5		71694
16509		79540
12668		45328
21946		36342
58758		24433
17809		17198
13061		7154
25582		19743
89591.5		36283
63486.5		35200
72933.5		212860
56540		24284
53728.5		22950
29157		22950
8611.5		34482
40204.5		11184
2187		20318
62548.5		80808
33706		100814
41719.5		121879
1355		102042
56041.5		7486
94401		109812
28444		5295
45805		35292
46920		6065
40838		53694
16078		500
94289		105448
2142.5		109861
3191		175018
15039		1
6614.5		3641
12083.5		13087
12709.5		39975
19516.5		127100
5059		180506
9737		177503
44287.5		11021
6301		179679
17421.5		160979
46030.5		8897
9630		83699
9257		44291
3504.5		176845
66532.5		27613
3862.5		1232
49491		51672
24470.5		59628
23277		84074
11569		37999
53551.5		101707
74266		101707
31604		1
11580		28604
15981		48147
29507		38877
15983.5		102618
3130.5		290238
3467		2211
22851.5		9868
8421		13688
5414		59641
3560.5		91680
23445		2096
25531		128589
7786		6583
8923		118416
1551		119550
13848		15738
18781		5012
95863		295187
26422.5		12421
19435.5		98450
7169		62299
5640		17357
6684		67489
13057		57048
49756		181702
13348.5		38902
35412		20371
94633		9072
42619		51354
37359.5		54835
37185		45021
19592.5		201769
6480		187611
44542		143003
42061.5		14112
70152		56128
61644		89772
6347.5		16712
7932		215
29719.5		33349
56634.5		114999
49399.5		49414
21873.5		110459
6431		124448
16190.5		14875
52681		75417
9601		41467
35775		10213
13114		10542
13414.5		90283
24674		7346
9669.5		40625
85478.5		34138
21282.5		9504
20827		276719
2472		81469
20083.5		51184
975.5		14526
33847		1816
33998		21400
38427.5		202024
2439.5		77278
14809		23649
14506		80057
36760		107090
14732		37565
13264		158875
1854.5		177858
86854.5		79733
14381.5		24327
47498.5		87904
56630		188171
7996.5		1
15043.5		38474
9932.5		3185
20686.5		23154
20381.5		1
10709		84254
4405.5		27031
22669.5		10901
5717.5		41671
69559		48129
68523.5		169297
12864.5		65017
46992		31581
16450		38579
29488		209666
27286.5		42209
7871		11185
13935		106112
21711		72858
97188		1
14334		176662
20530.5		2913
30288.5		17322
74859		34565
74516		260081
42972		49451
41797		274967
7047		160250
35841		32291
41666		31280
2219.5		20236
32581.5		134247
51029.5		1
15595.5		7669
6772.5		11872
27248		77975
15709		1060
69171		189476
54463.5		11057
8585.5		246614
45399.5		68195
14003.5		144696
50588		41890
29742		36529
60661		824
52236		211817
26940		33199
30700		1
62846.5		133169
52135.5		144694
17742		387965
7894		9088
27677		336679
11152.5		131945
16763		24421
2053.5		109
44258.5		33419
7139		19038
12540		82692
21105.5		155338
20394.5		152555
52458		20346
45454		158835
12502		105268
972		52748
10383.5		1
4763.5		82564
5114		91337
24288		94594
12490.5		1
29548.5		2514
14007		39321
31108		93384
2713.5		193504
22514.5		101572
46033		9769
68179		1
2375.5		4490
80533		23991
20768		97849
13013.5		28228
64844		2600
65624		87057
53071		44215
20470		6959
21263		26883
3949.5		151202
3459		93792
7851		9556
18717.5		92039
11925		4121
59346.5		37812
81157		61088
42423		1
20429		360820
31081		70037
7522		48322
16191		12215
11648.5		15248
1995		71880
2645		133370
22675.5		76738
4130.5		199602
57271		52065
4034		14070
14358		1279
23533.5		12449
14711.5		44324
34648.5		141380
40380.5		48408
86441.5		141380
16845		1
13923		54246
3560.5		37816
71052		128117
31653.5		44822
7775		37847
9938		67657
30461.5		72894
6075		24294
18849		58241
10959		23343
4006		37017
5323.5		30548
4390.5		77476
26146.5		44339
5393.5		61089
99111.5		275
2387		81663
45366		81663
22431		45558
10047.5		45558
69918.5		24879
12012.5		24879
27167.5		21042
7029.5		21042
19777		895
8341		304044
6349.5		304044
5787		39853
4741.5		26589
10100.5		31638
19713		18374
16362		404
12258.5		13668
7881		44401
22251.5		66947
23527.5		58224
45284.5		219766
29900.5		4894
4548.5		10426
10860		21938
10925.5		6175
42450		45065
11143.5		74818
12008		36191
24948.5		9886
35093.5		3246
32294.5		17369
31874.5		70045
7400.5		5957
6088		78527
1952		45425
50531		3091
3155.5		27855
10760		44741
3339		74036
41960.5		14144
28003.5		77975
3548		29202
17518		11401
2613		20357
19210.5		70911
24469.5		80400
29161		7651
11356		46392
9469		18698
7867.5		126468
15344		1
66534.5		38119
2110.5		35492
39334		16435
2761		19058
86257.5		1
52400.5		18101
10903		26255
1669.5		37693
12406.5		51919
11201		37397
4545.5		157008
7115.5		5627
2886.5		13568
60164.5		62799
99362		14511
21460.5		27375
36088		51505
15073.5		106161
		41650
		38707
		32854
		110198
		21339
		71014
		71014
		71014
		5268
		5268
		5268
		18489
		18489
		18489
		59435
		59435
		59435
		116535
		116535
		116535
		205981
		7529
		1
		103162
		42394
